name,image,original pose,odometry,deviation (original - odometry),deviation,scale,error
1,1.png,0.0,0.0,0.0,0.0,[],
2,2.png,0.0,0.0,0.0,0.0,[],
3,3.png,-0.0,-0.9722900147634204,0.9722900147634204,0.9722900147634204,0.0,-inf
4,4.png,-0.001,-0.9732620758994943,0.9722620758994943,0.9722620758994943,0.001,-97226.20758994944
5,5.png,-0.002,-0.9746712928954344,0.9726712928954344,0.9726712928954344,0.001414213562373095,-48633.564644771715
6,6.png,-0.003,-0.9760740343658475,0.9730740343658475,0.9730740343658475,0.001414213562373095,-32435.80114552825
7,7.png,-0.006,-0.9791111562851582,0.9731111562851582,0.9731111562851582,0.0031622776601683794,-16218.519271419302
8,8.png,-0.005,-0.9782943241700136,0.9732943241700136,0.9732943241700136,0.001414213562373095,-19465.88648340027
9,9.png,-0.007,-0.9778284743875886,0.9708284743875886,0.9708284743875886,0.0022360679774997894,-13868.97820553698
10,10.png,-0.009,-0.9799732926407724,0.9709732926407724,0.9709732926407724,0.002236067977499789,-10788.592140453027
11,11.png,-0.012,-0.9766723369255574,0.9646723369255574,0.9646723369255574,0.0033166247903554007,-8038.9361410463125
12,12.png,-0.014,-0.9794772328949152,0.9654772328949152,0.9654772328949152,0.00282842712474619,-6896.265949249394
13,13.png,-0.016,-0.9814911906956436,0.9654911906956436,0.9654911906956436,0.002236067977499789,-6034.3199418477725
14,14.png,-0.018,-0.9789052598936153,0.9609052598936153,0.9609052598936153,0.0029999999999999988,-5338.36255496453
15,15.png,-0.022,-0.9744501594734817,0.9524501594734817,0.9524501594734817,0.004472135954999579,-4329.318906697644
16,16.png,-0.025,-0.9709673105436696,0.9459673105436696,0.9459673105436696,0.0037416573867739434,-3783.8692421746778
17,17.png,-0.028,-0.9681678028841619,0.9401678028841619,0.9401678028841619,0.003162277660168379,-3357.7421531577206
18,18.png,-0.032,-0.9728806829811377,0.9408806829811377,0.9408806829811377,0.004999999999999999,-2940.252134316055
19,19.png,-0.036,-0.9764568233242557,0.9404568233242556,0.9404568233242556,0.004472135954999577,-2612.380064789599
20,20.png,-0.043,-0.9829608854425115,0.9399608854425114,0.9399608854425114,0.007280109889280517,-2185.9555475407246
21,21.png,-0.049,-0.9793834942787305,0.9303834942787305,0.9303834942787305,0.006324555320336764,-1898.7418250586334
22,22.png,-0.054,-0.9766957487212531,0.922695748721253,0.922695748721253,0.005385164807134501,-1708.6958309652837
23,23.png,-0.06,-0.9822360644670114,0.9222360644670113,0.9222360644670113,0.006324555320336758,-1537.060107445019
24,24.png,-0.067,-0.9888516837867594,0.9218516837867594,0.9218516837867594,0.007280109889280524,-1375.8980355026258
25,25.png,-0.075,-0.9965995759368618,0.9215995759368618,0.9215995759368618,0.008246211251235315,-1228.7994345824825
26,26.png,-0.084,-0.9980183416226597,0.9140183416226597,0.9140183416226597,0.009055385138137424,-1088.117073360309
27,27.png,-0.094,-1.0074822426333483,0.9134822426333483,0.9134822426333483,0.010198039027185564,-971.7896198227108
28,28.png,-0.103,-1.0153032515471607,0.9123032515471607,0.9123032515471607,0.009110433579144294,-885.7313121817094
29,29.png,-0.114,-1.0213154667011053,0.9073154667011053,0.9073154667011053,0.01104536101718727,-795.8907602641275
30,30.png,-0.126,-1.03046509994895,0.90446509994895,0.90446509994895,0.012165525060596438,-717.8294444039285
31,31.png,-0.138,-1.0411899343746251,0.9031899343746251,0.9031899343746251,0.012083045973594582,-654.4854596917573
32,32.png,-0.15,-1.0396963159007364,0.8896963159007364,0.8896963159007364,0.012041594578792279,-593.1308772671576
33,33.png,-0.163,-1.044212396516748,0.881212396516748,0.881212396516748,0.013076696830622032,-540.6211021575141
34,34.png,-0.176,-1.0398919902956574,0.8638919902956574,0.8638919902956574,0.012999999999999984,-490.84772175889634
35,35.png,-0.188,-1.0422898795141609,0.8542898795141609,0.8542898795141609,0.012041594578792305,-454.4095103798728
36,36.png,-0.202,-1.0505761758746022,0.8485761758746022,0.8485761758746022,0.014071247279470301,-420.087215779506
37,37.png,-0.217,-1.0491066116374936,0.8321066116374937,0.8321066116374937,0.015033296378372894,-383.4592680357114
38,38.png,-0.23,-1.0491663856535385,0.8191663856535385,0.8191663856535385,0.013038404810405309,-356.15929811023415
39,39.png,-0.245,-1.049742075770027,0.8047420757700271,0.8047420757700271,0.015033296378372894,-328.4661533755213
40,40.png,-0.261,-1.0590496254582582,0.7980496254582582,0.7980496254582582,0.016155494421403526,-305.76614002232117
41,41.png,-0.275,-1.0597796876582317,0.7847796876582317,0.7847796876582317,0.014035668847618211,-285.3744318757206
42,42.png,-0.29,-1.0614079059988268,0.7714079059988268,0.7714079059988268,0.015033296378372866,-266.002726206492
43,43.png,-0.307,-1.06577264731963,0.7587726473196301,0.7587726473196301,0.017029386365926418,-247.15721411062873
44,44.png,-0.32,-1.0664291557051424,0.7464291557051423,0.7464291557051423,0.013038404810405309,-233.25911115785698
45,45.png,-0.337,-1.0629637529097735,0.7259637529097736,0.7259637529097736,0.017058722109231997,-215.41951124919098
46,46.png,-0.353,-1.059478290942296,0.706478290942296,0.706478290942296,0.01606237840420897,-200.13549318478638
47,47.png,-0.367,-1.059175204959412,0.6921752049594121,0.6921752049594121,0.014000000000000012,-188.6035980815837
48,48.png,-0.384,-1.0459051980477658,0.6619051980477658,0.6619051980477658,0.017058722109231997,-172.371145324939
49,49.png,-0.401,-1.042922280098363,0.641922280098363,0.641922280098363,0.017029386365926418,-160.08036910183617
50,50.png,-0.415,-1.0492556766887995,0.6342556766887995,0.6342556766887995,0.014035668847618157,-152.83269317802396
51,51.png,-0.431,-1.0569155127955063,0.6259155127955063,0.6259155127955063,0.016031219541881414,-145.22401688990865
52,52.png,-0.449,-1.0466554497207448,0.5976554497207447,0.5976554497207447,0.018055470085267804,-133.10811797789415
53,53.png,-0.464,-1.037318353161485,0.5733183531614849,0.5733183531614849,0.015066519173319377,-123.55998990549244
54,54.png,-0.481,-1.0217873296914652,0.5407873296914653,0.5407873296914653,0.017029386365926363,-112.42979827265391
55,55.png,-0.499,-1.0054888146189163,0.5064888146189163,0.5064888146189163,0.018055470085267804,-101.50076445268863
56,56.png,-0.514,-0.9917087902469691,0.4777087902469691,0.4777087902469691,0.015165750888103114,-92.93945335544146
57,57.png,-0.532,-0.9742973721520473,0.44229737215204723,0.44229737215204723,0.018027756377319962,-83.1386037879788
58,58.png,-0.548,-0.9611982940287093,0.4131982940287092,0.4131982940287092,0.01627882059609972,-75.40114854538488
59,59.png,-0.582,-0.929514021473719,0.347514021473719,0.347514021473719,0.03436568055487909,-59.71031296799296
60,60.png,-0.6,-0.9180913297816578,0.3180913297816578,0.3180913297816578,0.01811077027627485,-53.0152216302763
61,61.png,-0.616,-0.918698649818305,0.30269864981830497,0.30269864981830497,0.016124515496597113,-49.13939120427029
62,62.png,-0.625,-0.9109855493258455,0.2859855493258455,0.2859855493258455,0.009055385138137424,-45.75768789213529
63,63.png,-0.644,-0.8955575182577834,0.2515575182577834,0.2515575182577834,0.019104973174542815,-39.061726437544
64,64.png,-0.664,-0.8768518282256922,0.21285182822569215,0.21285182822569215,0.0200997512422418,-32.05599822676086
65,65.png,-0.682,-0.8678802928928838,0.18588029289288377,0.18588029289288377,0.01813835714721707,-27.255174910980024
66,66.png,-0.703,-0.8541542476448631,0.15115424764486318,0.15115424764486318,0.021095023109728894,-21.501315454461338
67,67.png,-0.723,-0.8684729910965193,0.14547299109651934,0.14547299109651934,0.020024984394500803,-20.120745656503367
68,68.png,-0.741,-0.8525593344610511,0.11155933446105115,0.11155933446105115,0.01811077027627485,-15.055240817955621
69,69.png,-0.763,-0.8408496013375109,0.07784960133751084,0.07784960133751084,0.02204540768504862,-10.203093229031564
70,70.png,-0.775,-0.8323707764871612,0.05737077648716116,0.05737077648716116,0.012041594578792305,-7.402680837053052
71,71.png,-0.795,-0.8486818835545791,0.053681883554579035,0.053681883554579035,0.020024984394500803,-6.752438182965916
72,72.png,-0.817,-0.8670492002773714,0.050049200277371475,0.050049200277371475,0.02209072203437443,-6.12597310616542
73,73.png,-0.839,-0.8523600646819285,0.013360064681928518,0.013360064681928518,0.022113344387496,-1.5923795806827794
74,74.png,-0.859,-0.8457719051491548,-0.013228094850845196,0.013228094850845196,0.020000000000000018,-1.5399411933463558
75,75.png,-0.884,-0.8276384353369981,-0.056361564663001906,0.056361564663001906,0.025099800796022288,-6.375742608936867
76,76.png,-0.907,-0.8102722989537144,-0.09672770104628559,0.09672770104628559,0.023043437243605847,-10.664575639061255
77,77.png,-0.926,-0.795710989221337,-0.13028901077866306,0.13028901077866306,0.019026297590440465,-14.070087557091043
78,78.png,-0.95,-0.7772220146699024,-0.17277798533009758,0.17277798533009758,0.024020824298928538,-18.187156350536586
79,79.png,-0.974,-0.7947634402656747,-0.17923655973432528,0.17923655973432528,0.02402082429892865,-18.402110855680213
