name,image,original pose,odometry,deviation (original - odometry),deviation,scale,error
1,1.png,0.0,0.0,0.0,0.0,[],
2,2.png,0.0,0.0,0.0,0.0,[],
3,3.png,-0.00302564,-0.933055610385264,0.9300299703852639,0.9300299703852639,0.0029825946879341483,-30738.289101983843
4,4.png,-0.00633435,-0.933055610385264,0.9267212603852639,0.9267212603852639,0.0050666123580372716,-14630.092438612706
5,5.png,-0.0126196,-0.933055610385264,0.920436010385264,0.920436010385264,0.0069663846224709705,-7293.701942892517
6,6.png,-0.0296416,-0.933055610385264,0.9034140103852639,0.9034140103852639,0.01774864314095306,-3047.7909774953578
7,7.png,-0.0327591,-0.933055610385264,0.9002965103852639,0.9002965103852639,0.00759659661957906,-2748.2333470249914
8,8.png,-0.063442,-0.933055610385264,0.869613610385264,0.869613610385264,0.03149037744756325,-1370.7222508515872
9,9.png,-0.128729,-0.933055610385264,0.804326610385264,0.804326610385264,0.06634267957182617,-624.8216100375704
10,10.png,-0.219234,-0.933055610385264,0.7138216103852639,0.7138216103852639,0.09149476106272753,-325.5980415379293
11,11.png,-0.304777,-0.933055610385264,0.628278610385264,0.628278610385264,0.0889898478172651,-206.14370847710424
12,12.png,-0.439772,-1.068671496644754,0.6288994966447539,0.6288994966447539,0.13637333661610687,-143.00580679187257
13,13.png,-0.610693,-1.2392055475872579,0.6285125475872578,0.6285125475872578,0.17109662933737185,-102.91792235824838
14,14.png,-0.774363,-1.4046074946621903,0.6302444946621902,0.6302444946621902,0.16837837665922573,-81.38876659424459
15,15.png,-0.950204,-1.5802686145480995,0.6300646145480995,0.6300646145480995,0.17585537478947214,-66.3083521589153
16,16.png,-1.11941,-1.7532991107127034,0.6338891107127034,0.6338891107127034,0.1739256342721785,-56.627072360681375
17,17.png,-1.30555,-1.9419272533181693,0.6363772533181693,0.6363772533181693,0.1887542425136452,-48.74399703712376
18,18.png,-1.42634,-2.0601705660153935,0.6338305660153936,0.6338305660153936,0.1232651777718265,-44.43755107585804
19,19.png,-1.50188,-2.0601705660153935,0.5582905660153934,0.5582905660153934,0.07637636604604872,-37.172781181944856
20,20.png,-1.63776,-2.1956793416019518,0.5579193416019517,0.5579193416019517,0.13649465267892366,-34.06600122129932
21,21.png,-1.78059,-2.3437499437127314,0.5631599437127315,0.5631599437127315,0.15179121695714132,-31.62771574100335
22,22.png,-1.90402,-2.4692121484820313,0.5651921484820313,0.5651921484820313,0.12639162892098527,-29.684149771642694
23,23.png,-2.03936,-2.6170157524615045,0.5776557524615047,0.5776557524615047,0.14833655258424994,-28.325344836689194
24,24.png,-2.15476,-2.731561022226515,0.576801022226515,0.576801022226515,0.11610532827191886,-26.768689887807223
25,25.png,-2.26203,-2.8392965952940226,0.5772665952940224,0.5772665952940224,0.1087098678389871,-25.51984700883818
26,26.png,-2.33974,-2.8392965952940226,0.49955659529402263,0.49955659529402263,0.07837559762636555,-21.3509447756598
27,27.png,-2.44805,-2.9582825564425694,0.5102325564425696,0.5102325564425696,0.1228526166924009,-20.842407485246202
28,28.png,-2.58849,-3.096443081299316,0.5079530812993158,0.5079530812993158,0.14160041035519988,-19.623528825659584
29,29.png,-2.77717,-3.288217019366898,0.5110470193668979,0.5110470193668979,0.19261758582725202,-18.401718993324064
30,30.png,-2.94764,-3.4604378530658675,0.5127978530658677,0.5127978530658677,0.17266767995991597,-17.396895586498612
31,31.png,-3.09433,-3.6061712854100483,0.5118412854100485,0.5118412854100485,0.14695377036877957,-16.5412637116936
32,32.png,-3.2542,-3.7656644051651904,0.5114644051651904,0.5114644051651904,0.16320401212470256,-15.71705504164435
33,33.png,-3.40506,-3.9189898608052713,0.5139298608052711,0.5139298608052711,0.15364181631719329,-15.093122024436312
34,34.png,-3.54963,-4.05478209410052,0.5051520941005196,0.5051520941005196,0.14520560530489984,-14.23111969699714
35,35.png,-3.70697,-4.215395358993242,0.5084253589932421,0.5084253589932421,0.1623163499776437,-13.715389091178029
36,36.png,-3.85184,-4.071985382131076,0.2201453821310757,0.2201453821310757,0.14752249551321459,-5.715330390957976
37,37.png,-4.02587,-4.24795274736252,0.22208274736251976,0.22208274736251976,0.17678783210581106,-5.516391422537731
38,38.png,-4.16513,-4.378573209590736,0.2134432095907357,0.2134432095907357,0.13984510359068725,-5.124526955718926
39,39.png,-4.40852,-4.624936825258304,0.21641682525830408,0.21641682525830408,0.24825138543518724,-4.909058488070919
40,40.png,-4.577,-4.793732331036565,0.21673233103656475,0.21673233103656475,0.16884597614873714,-4.735248657123984
41,41.png,-4.74071,-4.9497868151061395,0.2090768151061395,0.2090768151061395,0.1651003936994095,-4.41024266631242
42,42.png,-4.91859,-5.127418816766768,0.20882881676676757,0.20882881676676757,0.1857394155525693,-4.245704902558814
43,43.png,-5.06564,-5.273444482867784,0.2078044828677834,0.2078044828677834,0.1476018253425412,-4.102235509585825
44,44.png,-5.22793,-5.437817568121344,0.2098875681213439,0.2098875681213439,0.1643788400841479,-4.01473562425939
45,45.png,-5.37618,-5.359865460399681,-0.01631453960031859,0.01631453960031859,0.1566543760979884,-0.3034596981559135
46,46.png,-5.54801,-5.531048354516151,-0.01696164548384882,0.01696164548384882,0.17336544151566072,-0.3057248542062617
47,47.png,-5.60924,-5.531048354516151,-0.07819164548384894,0.07819164548384894,0.06649332199830306,-1.393979317765846
48,48.png,-5.64648,-5.531048354516151,-0.11543164548384954,0.11543164548384954,0.038366084008796694,-2.0443115973819004
49,49.png,-5.73362,-5.531048354516151,-0.20257164548384932,0.20257164548384932,0.08730680199892767,-3.5330497222321906
50,50.png,-5.88277,-5.674814233698378,-0.20795576630162227,0.20795576630162227,0.15332140941789538,-3.5349973958122156
51,51.png,-6.02119,-5.801037526233731,-0.22015247376626856,0.22015247376626856,0.14018355440279004,-3.656295080644666
52,52.png,-6.17151,-5.9095433760190925,-0.2619666239809071,0.2619666239809071,0.15196697182282715,-4.244773547817424
53,53.png,-6.35931,-6.084172786433268,-0.2751372135667314,0.2751372135667314,0.1900949801809613,-4.3265262043638595
54,54.png,-6.52394,-6.248407922488376,-0.2755320775116239,0.2755320775116239,0.1660065075381081,-4.223399931814577
55,55.png,-6.67889,-6.396012082536914,-0.282877917463086,0.282877917463086,0.158630660151183,-4.235403150270269
56,56.png,-6.87621,-6.589927704712285,-0.2862822952877151,0.2862822952877151,0.19936961239115691,-4.163373359564573
57,57.png,-7.02098,-6.737947558561725,-0.2830324414382748,0.2830324414382748,0.14889654461403673,-4.0312383946154915
58,58.png,-7.16054,-6.88714630033745,-0.27339369966255056,0.27339369966255056,0.1577463927353019,-3.8180598064189373
59,59.png,-7.33877,-7.054276416356119,-0.2844935836438811,0.2844935836438811,0.1917046692962903,-3.876584000369014
60,60.png,-7.51957,-7.124275551181623,-0.39529444881837694,0.39529444881837694,0.18786223170185076,-5.256875709892679
61,61.png,-7.62564,-7.208289421650103,-0.41735057834989675,0.41735057834989675,0.1179427697868758,-5.472990835521959
62,62.png,-7.76941,-7.331258489470495,-0.4381515105295044,0.4381515105295044,0.1622260327999177,-5.6394437998445754
63,63.png,-7.95689,-7.502487248471578,-0.4544027515284217,0.4544027515284217,0.2049046932527412,-5.710808513482299
64,64.png,-8.0477,-7.586495578088518,-0.46120442191148303,0.46120442191148303,0.12301335318574244,-5.730884872839233
65,65.png,-8.17243,-7.687852905324905,-0.48457709467509513,0.48457709467509513,0.17371498957775602,-5.929412606471944
66,66.png,-8.32365,-7.819335726733553,-0.5043142732664476,0.5043142732664476,0.194392873418755,-6.058811618297833
67,67.png,-8.43506,-7.9324173334692505,-0.5026426665307495,0.5026426665307495,0.1777001335958976,-5.958969663887981
68,68.png,-8.53745,-8.011085238193811,-0.5263647618061889,0.5263647618061889,0.21951287205993164,-6.1653627465600245
69,69.png,-8.66061,-8.152692272573333,-0.5079177274266673,0.5079177274266673,0.22270844367468454,-5.864687677042001
70,70.png,-8.77576,-8.287383541104314,-0.4883764588956865,0.4883764588956865,0.2077660479509585,-5.565061702868885
71,71.png,-8.87916,-8.385141153387357,-0.4940188466126436,0.4940188466126436,0.1916315898823577,-5.563801605249186
72,72.png,-9.01855,-8.52394717754435,-0.4946028224556489,0.4946028224556489,0.22738935449420158,-5.484283199135659
73,73.png,-9.14159,-8.63544670544808,-0.5061432945519204,0.5061432945519204,0.20924715898116836,-5.536709637512953
74,74.png,-9.23592,-8.727183087291412,-0.5087369127085886,0.5087369127085886,0.2022547863543401,-5.508242954774278
75,75.png,-9.35064,-8.828640972427774,-0.5219990275722264,0.5219990275722264,0.22059856174508516,-5.582495182920382
76,76.png,-9.46952,-8.934729029884261,-0.5347909701157381,0.5347909701157381,0.20195237407668593,-5.647498184868273
77,77.png,-9.57253,-9.03691925075077,-0.5356107492492299,0.5356107492492299,0.2169263750677643,-5.595289325280045
78,78.png,-9.69949,-9.133079721798088,-0.5664102782019125,0.5664102782019125,0.18345350212435327,-5.8395882484740165
