name,image,original pose,odometry,deviation (original - odometry),deviation,scale,error
1,1.png,0.0,0.0,0.0,0.0,[],
2,2.png,0.0,0.0,0.0,0.0,[],
3,3.png,-0.026166776195168495,0.9963752720974898,-1.0225420482926584,1.0225420482926584,0.010507308462833244,-3907.7876489862106
4,4.png,-0.041978683322668076,0.9963752720974898,-1.038353955420158,1.038353955420158,0.016305335289561348,-2473.5267360314206
5,5.png,-0.06825710088014603,0.9963752720974898,-1.064632372977636,1.064632372977636,0.02659572029374671,-1559.738634148914
6,6.png,-0.101156085729599,0.9963752720974898,-1.0975313578270889,1.0975313578270889,0.03316226483597786,-1084.987966775333
7,7.png,-0.1505955308675766,0.9963752720974898,-1.1469708029650665,1.1469708029650665,0.049638306643756,-761.6234003475403
8,8.png,-0.20129497349262238,0.9963752720974898,-1.1976702455901123,1.1976702455901123,0.050850490523065464,-594.9826887426019
9,9.png,-0.2712835669517517,0.9963752720974898,-1.2676588390492416,1.2676588390492416,0.0705428329500386,-467.28183844423467
10,10.png,-0.3515702784061432,0.9963752720974898,-1.347945550503633,1.347945550503633,0.08163492805834245,-383.40714027778284
11,11.png,-0.4360088109970093,0.9963752720974898,-1.4323840830944992,1.4323840830944992,0.08580750834582808,-328.52182042356117
12,12.png,-0.5268534421920776,0.9963752720974898,-1.5232287142895675,1.5232287142895675,0.09196767888290154,-289.1181099532868
13,13.png,-0.6289255023002625,0.898088003705191,-1.5270135060054535,1.5270135060054535,0.10274448321928266,-242.7971994171775
14,14.png,-0.738937258720398,0.7882322999483494,-1.5271695586687475,1.5271695586687475,0.11022827980370416,-206.67107263116148
15,15.png,-0.8548194766044617,0.6725664698240004,-1.527385946428462,1.527385946428462,0.1160181657615748,-178.67935724810437
16,16.png,-0.9770564436912537,0.5509180861334486,-1.5279745298247023,1.5279745298247023,0.12227069502797827,-156.3854923316525
17,17.png,-1.1048775911331177,0.4230936727352834,-1.527971263868401,1.527971263868401,0.1279120192988144,-138.2932621795122
18,18.png,-1.2292473316192627,0.3038326313693527,-1.5330799629886154,1.5330799629886154,0.12461850165453082,-124.71696489014299
19,19.png,-1.3323609828948975,0.20068201752354214,-1.5330430004184397,1.5330430004184397,0.10329987202339709,-115.06213556985952
20,20.png,-1.4685940742492676,0.07010326353804444,-1.538697337787312,1.538697337787312,0.13646555057970614,-104.77349492056753
21,21.png,-1.5964668989181519,-0.05717294505414294,-1.539293953864009,1.539293953864009,0.1279027599031487,-96.41878293293232
22,22.png,-1.7311185598373413,-0.19076241688715653,-1.5403561429501849,1.5403561429501849,0.13469012477754272,-88.98039560588613
23,23.png,-1.8649876117706299,-0.3247026159311691,-1.5402849958394609,1.5402849958394609,0.13404266225573686,-82.58955641947163
24,24.png,-2.0019912719726562,-0.45385538621473515,-1.548135885757921,1.548135885757921,0.1374049195985738,-77.32980195425478
25,25.png,-2.1338603496551514,-0.5807467877997582,-1.553113561855393,1.553113561855393,0.13249214555110683,-72.78421767883678
26,26.png,-2.2690353393554688,-0.7162051940962477,-1.552830145259221,1.552830145259221,0.1356135497371591,-68.43569680586423
27,27.png,-2.398831605911255,-0.8430926798808245,-1.5557389260304304,1.5557389260304304,0.13002432482817247,-64.85402819425688
28,28.png,-2.5376358032226562,-0.9814934004211952,-1.556142402801461,1.556142402801461,0.1390491656937927,-61.32252708703301
29,29.png,-2.6779325008392334,-1.1216332700408869,-1.5562992307983465,1.5562992307983465,0.14070258807443517,-58.11570046334701
30,30.png,-2.7854740619659424,-1.2298997839253594,-1.555574278040583,1.555574278040583,0.10891662978296186,-55.84594375805043
31,31.png,-2.928830623626709,-1.3722365156075444,-1.5565941080191645,1.5565941080191645,0.1436841262155306,-53.14729009804149
32,32.png,-3.080644369125366,-1.5246696302516969,-1.5559747388736693,1.5559747388736693,0.15253091056617724,-50.508093516663536
33,33.png,-3.226668119430542,-1.6684903923798171,-1.5581777270507249,1.5581777270507249,0.1463254699889955,-48.290610294489156
34,34.png,-3.3765523433685303,-1.8163108910824193,-1.560241452286111,1.560241452286111,0.14994171548963894,-46.208122772045535
35,35.png,-3.505186080932617,-1.939113461534731,-1.5660726193978862,1.5660726193978862,0.1287439412720283,-44.678729837395814
36,36.png,-3.6615099906921387,-2.09480328022372,-1.5667067104684187,1.5667067104684187,0.1564073555126089,-42.7885411879557
37,37.png,-3.801752805709839,-2.2355809635749684,-1.5661718421348705,1.5661718421348705,0.14103735382268315,-41.19604619697111
38,38.png,-3.938490867614746,-2.3727809033209954,-1.5657099642937506,1.5657099642937506,0.13814224042960804,-39.75405851942437
39,39.png,-4.064770698547363,-2.4992655294840027,-1.5655051690633606,1.5655051690633606,0.12709307218369215,-38.513984801721506
40,40.png,-4.223111152648926,-2.6533839503721874,-1.5697272022767383,1.5697272022767383,0.15900350331693688,-37.16992391479288
41,41.png,-4.386358261108398,-2.8159565944668836,-1.5704016666415148,1.5704016666415148,0.16331734299515704,-35.80194715432767
42,42.png,-4.551052570343018,-2.9805080012761342,-1.5705445690668833,1.5705445690668833,0.16482448863547589,-34.509479835529774
43,43.png,-4.694796562194824,-3.1227889679833103,-1.572007594211514,1.572007594211514,0.14381947899844422,-33.48404075418761
44,44.png,-4.861623287200928,-3.2872441594127233,-1.5743791277882044,1.5743791277882044,0.16687136300590827,-32.38381575004037
45,45.png,-5.034905910491943,-3.4592256213930885,-1.5756802890988548,1.5756802890988548,0.1732943535839129,-31.295128789107807
46,46.png,-5.20389986038208,-3.6241238396929742,-1.5797760206891058,1.5797760206891058,0.16908284675882493,-30.35754074970066
47,47.png,-5.365023612976074,-3.782571432538196,-1.5824521804378784,1.5824521804378784,0.1611962423098565,-29.49571697336974
48,48.png,-5.500458240509033,-3.914796011748009,-1.585662228761024,1.585662228761024,0.13572281085884458,-28.827820509265077
49,49.png,-5.671657085418701,-4.083747469093394,-1.587909616325307,1.587909616325307,0.17142735949284246,-27.997278262955525
50,50.png,-5.842899322509766,-4.2534562120030515,-1.5894431105067142,1.5894431105067142,0.1713403571644402,-27.202986441737675
51,51.png,-6.013763427734375,-4.418072479060299,-1.5956909486740756,1.5956909486740756,0.17102326032573853,-26.533982718958338
52,52.png,-6.155331611633301,-4.554049046852045,-1.6012825647812559,1.6012825647812559,0.14171465283762633,-26.014562103443843
53,53.png,-6.3261566162109375,-4.724219795118749,-1.6019368210921883,1.6019368210921883,0.1708764863073648,-25.32243379791111
54,54.png,-6.498107433319092,-4.895070883008193,-1.6030365503108985,1.6030365503108985,0.17231422546284073,-24.669283583883477
55,55.png,-6.645902633666992,-5.039661097768041,-1.6062415358989508,1.6062415358989508,0.14829299845850918,-24.168899612853327
56,56.png,-6.820302963256836,-5.213947370167,-1.6063555930898357,1.6063555930898357,0.17450888704109063,-23.55255480209295
57,57.png,-7.000552654266357,-5.392693564129609,-1.6078590901367482,1.6078590901367482,0.18053138497206325,-22.967602267184837
58,58.png,-7.172158718109131,-5.563773518147805,-1.608385199961326,1.608385199961326,0.1717448327815569,-22.42539886771163
59,59.png,-7.344018936157227,-5.735376048512633,-1.608642887644594,1.608642887644594,0.17187363467264224,-21.904122274585525
60,60.png,-7.520617485046387,-5.9119115598958585,-1.6087059251505282,1.6087059251505282,0.17682020138576,-21.390609592220283
61,61.png,-7.701775074005127,-6.090380829964291,-1.6113942440408362,1.6113942440408362,0.18142313859530332,-20.922374758509648
62,62.png,-7.879637718200684,-6.268123274965935,-1.611514443234749,1.611514443234749,0.1781008614021255,-20.451631164620835
63,63.png,-8.059136390686035,-6.445800430452021,-1.6133359602340143,1.6133359602340143,0.1798151822230793,-20.01872014597682
64,64.png,-8.236201286315918,-6.622647820913307,-1.6135534654026111,1.6135534654026111,0.1771036420330908,-19.590991153694343
65,65.png,-8.399166107177734,-6.784686678884528,-1.6144794282932065,1.6144794282932065,0.1630259995080163,-19.22190140892093
66,66.png,-8.561890602111816,-6.945326146163623,-1.6165644559481933,1.6165644559481933,0.1627330767314451,-18.88092865318161
67,67.png,-8.711896896362305,-7.0930246381552555,-1.6188722582070492,1.6188722582070492,0.1500231430417868,-18.58231654328941
68,68.png,-8.871435165405273,-7.252367218600363,-1.6190679468049103,1.6190679468049103,0.15997483841983914,-18.250349764360212
69,69.png,-9.039105415344238,-7.420118907538894,-1.618986507805344,1.618986507805344,0.16789034764006946,-17.91091522239635
70,70.png,-9.210360527038574,-7.588989235497257,-1.6213712915413172,1.6213712915413172,0.1713565509998736,-17.603776603331724
71,71.png,-9.381963729858398,-7.760108400265723,-1.6218553295926759,1.6218553295926759,0.1717647152571754,-17.28694947339297
72,72.png,-9.585345268249512,-7.963263488217931,-1.6220817800315803,1.6220817800315803,0.203403056595763,-16.922518017212823
73,73.png,-9.769125938415527,-8.145935022714502,-1.6231909157010254,1.6231909157010254,0.18413767997822134,-16.615518378344234
74,74.png,-9.945882797241211,-8.321208662166923,-1.6246741350742884,1.6246741350742884,0.17716476632500677,-16.33514257301464
