name,image,original pose,odometry,deviation (original - odometry),deviation,error
1,000000.png,0.0,0.0,0.0,0.0,
2,000001.png,0.0,0.0,0.0,0.0,
3,000002.png,-0.09374345,-0.09374345,0.0,0.0,-0.0
4,000003.png,-0.1406429,-0.022771445432047382,-0.1178714545679526,0.1178714545679526,-83.80903306740164
5,000004.png,-0.1874858,-0.08931870857691901,-0.098167091423081,0.098167091423081,-52.3597474705183
6,000005.png,-0.2343818,-0.11338005962096011,-0.1210017403790399,0.1210017403790399,-51.6259113886146
7,000006.png,-0.2812195,-0.06360103810151492,-0.2176184618984851,0.2176184618984851,-77.38384496753785
8,000007.png,-0.3281178,-0.020011185233102635,-0.3081066147668974,0.3081066147668974,-93.90121924714153
9,000008.png,-0.3749547,-0.09003761474504195,-0.284917085254958,0.284917085254958,-75.98706863921376
10,000009.png,-0.4218367,-0.12396794741821945,-0.2978687525817806,0.2978687525817806,-70.6123370920028
11,000010.png,-0.4687329,-0.14801087773048238,-0.3207220222695176,0.3207220222695176,-68.4231941622868
12,000011.png,-0.5155474,-0.1998772785967814,-0.3156701214032186,0.3156701214032186,-61.23008697225873
13,000012.png,-0.562431,-0.2591315384040561,-0.3032994615959439,0.3032994615959439,-53.926519270087155
14,000013.png,-0.6093087,-0.35061945486804424,-0.2586892451319558,0.2586892451319558,-42.45618766512866
15,000014.png,-0.6562052,-0.43963355134480225,-0.2165716486551978,0.2165716486551978,-33.00364712976943
16,000015.png,-0.7018788,-0.4012394969459689,-0.30063930305403114,0.30063930305403114,-42.833506732790774
17,000016.png,-0.7498241,-0.4549736701602223,-0.2948504298397777,0.2948504298397777,-39.32261310883149
18,000017.png,-0.7992511,-0.5869923373126325,-0.21225876268736754,0.21225876268736754,-26.557206200575457
19,000018.png,-0.8546642,-0.6559257654774288,-0.19873843452257123,0.19873843452257123,-23.25339408419953
20,000019.png,-0.9072868,-0.7198941127009675,-0.18739268729903247,0.18739268729903247,-20.654184244610686
21,000020.png,-0.9609163,-0.7136316892502024,-0.24728461074979757,0.24728461074979757,-25.734250813499322
22,000021.png,-1.011589,-0.7711399625010986,-0.24044903749890145,0.24044903749890145,-23.769439713055544
23,000022.png,-1.066256,-0.8422556127513317,-0.22400038724866844,0.22400038724866844,-21.008124432469167
24,000023.png,-1.118651,-0.9752748758494627,-0.14337612415053735,0.14337612415053735,-12.816877127051898
25,000024.png,-1.17184,-1.0723691538355549,-0.09947084616444513,0.09947084616444513,-8.488432393880148
26,000025.png,-1.224279,-1.1472682118661899,-0.07701078813381002,0.07701078813381002,-6.290297238930834
27,000026.png,-1.280807,-1.2240429907353645,-0.05676400926463554,0.05676400926463554,-4.4318940530958635
28,000027.png,-1.334841,-1.2627403055421,-0.0721006944578999,0.0721006944578999,-5.401444401085966
29,000028.png,-1.385747,-1.3226337250477889,-0.0631132749522112,0.0631132749522112,-4.554458710876603
30,000029.png,-1.436633,-1.4037811748276992,-0.0328518251723009,0.0328518251723009,-2.2867235523826124
31,000030.png,-1.487044,-1.4961084260103472,0.009064426010347182,0.009064426010347182,-0.6095600406139416
32,000031.png,-1.538025,-1.5847817351154643,0.0467567351154643,0.0467567351154643,-3.040050396805273
33,000032.png,-1.586551,-1.6316682874861677,0.04511728748616761,0.04511728748616761,-2.8437338280438267
34,000033.png,-1.633363,-1.6959174599964069,0.06255445999640696,0.06255445999640696,-3.8297953361504433
35,000034.png,-1.680971,-1.7297049720813047,0.0487339720813047,0.0487339720813047,-2.899156028349371
36,000035.png,-1.728893,-1.7645222793688558,0.03562927936885574,0.03562927936885574,-2.0608146003746755
37,000036.png,-1.768976,-1.7803600412864897,0.011384041286489621,0.011384041286489621,-0.6435384813863851
38,000037.png,-1.815834,-1.8478760364279228,0.032042036427922804,0.032042036427922804,-1.7645906194025889
39,000038.png,-1.870663,-1.887289818783367,0.016626818783367137,0.016626818783367137,-0.8888195673601893
40,000039.png,-1.92978,-1.916959538100354,-0.01282046189964614,0.01282046189964614,-0.664348366116663
41,000040.png,-1.993748,-1.9721938294032,-0.021554170596800093,0.021554170596800093,-1.0810880109622727
42,000041.png,-2.061112,-2.0381506332104538,-0.0229613667895463,0.0229613667895463,-1.1140280969470024
43,000042.png,-2.126953,-2.074995644230503,-0.05195735576949678,0.05195735576949678,-2.4428069529273464
44,000043.png,-2.190967,-2.1496336162081,-0.041333383791900324,0.041333383791900324,-1.8865361181569746
45,000044.png,-2.256115,-2.2097202186540494,-0.04639478134595043,0.04639478134595043,-2.056401439906673
46,000045.png,-2.32994,-2.307877874641039,-0.022062125358961016,0.022062125358961016,-0.946896716609055
47,000046.png,-2.399728,-2.3245909659697044,-0.0751370340302957,0.0751370340302957,-3.1310646052509163
48,000047.png,-2.465214,-2.396452827334715,-0.06876117266528503,0.06876117266528503,-2.789257754713588
49,000048.png,-2.535885,-2.459383442513432,-0.07650155748656795,0.07650155748656795,-3.016759730294077
50,000049.png,-2.600016,-2.513702307030567,-0.08631369296943303,0.08631369296943303,-3.319736992750546
51,000050.png,-2.661881,-2.5673329282053667,-0.09454807179463343,0.09454807179463343,-3.5519270694157035
52,000051.png,-2.728914,-2.658175880107289,-0.07073811989271128,0.07073811989271128,-2.5921710941682763
53,000052.png,-2.800794,-2.7498041284519674,-0.05098987154803236,0.05098987154803236,-1.8205505848710175
54,000053.png,-2.871336,-2.860263008462574,-0.011072991537425914,0.011072991537425914,-0.38563900349613955
55,000054.png,-2.937935,-2.9124036543125893,-0.025531345687410667,0.025531345687410667,-0.8690235041759149
56,000055.png,-3.002463,-2.9806084025695965,-0.021854597430403633,0.021854597430403633,-0.7278889841574612
57,000056.png,-3.065844,-3.0306090543335946,-0.03523494566640517,0.03523494566640517,-1.1492739247791202
58,000057.png,-3.130185,-3.11207265875428,-0.01811234124572003,0.01811234124572003,-0.5786348489217101
59,000058.png,-3.19152,-3.193131942959437,0.0016119429594367851,0.0016119429594367851,-0.050507061194565134
60,000059.png,-3.248811,-3.250513881080519,0.0017028810805190808,0.0017028810805190808,-0.052415516954328244
61,000060.png,-3.310922,-3.3363225931726386,0.02540059317263843,0.02540059317263843,-0.7671758251217766
62,000061.png,-3.371514,-3.3659875495174214,-0.005526450482578493,0.005526450482578493,-0.16391598796797205
63,000062.png,-3.438994,-3.4731908713620925,0.034196871362092374,0.034196871362092374,-0.9943858977972154
64,000063.png,-3.511313,-3.59268076650643,0.08136776650643007,0.08136776650643007,-2.3173031429106454
65,000064.png,-3.579193,-3.6988796761031146,0.11968667610311456,0.11968667610311456,-3.3439570345358454
66,000065.png,-3.641784,-3.7952666845653984,0.1534826845653985,0.1534826845653985,-4.214491704214157
67,000066.png,-3.703384,-3.8610698284815173,0.15768582848151746,0.15768582848151746,-4.2578849096263705
68,000067.png,-3.776035,-3.9391597242209717,0.1631247242209719,0.1631247242209719,-4.320000323645621
69,000068.png,-3.84394,-4.03393512063939,0.18999512063938973,0.18999512063938973,-4.942718165200022
70,000069.png,-3.912602,-4.105116427951261,0.19251442795126072,0.19251442795126072,-4.920368285638578
71,000070.png,-3.978228,-4.1874910535212555,0.2092630535212554,0.2092630535212554,-5.260207648260868
72,000071.png,-4.046625,-4.25433300118757,0.20770800118757027,0.20770800118757027,-5.13287001359331
73,000072.png,-4.114442,-4.340274983225338,0.22583298322533718,0.22583298322533718,-5.488787622363789
74,000073.png,-4.179994,-4.460820867611394,0.2808268676113945,0.2808268676113945,-6.718355758677992
75,000074.png,-4.244856,-4.596255138882638,0.35139913888263763,0.35139913888263763,-8.278234618150476
76,000075.png,-4.313021,-4.668016108827915,0.3549951088279153,0.3549951088279153,-8.230776266285634
77,000076.png,-4.381935,-4.742270547451778,0.3603355474517773,0.3603355474517773,-8.223206128155194
78,000077.png,-4.44551,-4.910089274824233,0.4645792748242332,0.4645792748242332,-10.450528169416632
79,000078.png,-4.514875,-4.990020403809976,0.47514540380997605,0.47514540380997605,-10.523999087681853
80,000079.png,-4.58021,-5.056942590761294,0.47673259076129426,0.47673259076129426,-10.408531284838343
81,000080.png,-4.644343,-5.148888988000324,0.5045459880003236,0.5045459880003236,-10.863667649015664
82,000081.png,-4.709494,-5.213847815143099,0.5043538151430988,0.5043538151430988,-10.709299452193779
83,000082.png,-4.77573,-5.295666425558755,0.5199364255587549,0.5199364255587549,-10.887056545465402
84,000083.png,-4.837515,-5.361417883689506,0.5239028836895061,0.5239028836895061,-10.830000189963362
85,000084.png,-4.891889,-5.609446693452869,0.7175576934528687,0.7175576934528687,-14.668315112073651
86,000085.png,-4.937677,-5.570221210124113,0.632544210124113,0.632544210124113,-12.810562742846749
87,000086.png,-4.985837,-5.5946109771808645,0.6087739771808645,0.6087739771808645,-12.2100657759342
88,000087.png,-5.039038,-5.7367479171096045,0.6977099171096048,0.6977099171096048,-13.846093581941728
89,000088.png,-5.092732,-5.756771828546515,0.6640398285465148,0.6640398285465148,-13.038970606474379
90,000089.png,-5.133801,-5.8024831643411146,0.6686821643411145,0.6686821643411145,-13.025089292341377
91,000090.png,-5.159772,-5.8055086991391525,0.6457366991391522,0.6457366991391522,-12.514830095964555
92,000091.png,-5.183357,-5.870628580461484,0.6872715804614842,0.6872715804614842,-13.259198246647571
93,000092.png,-5.208269,-5.890816644084265,0.6825476440842655,0.6825476440842655,-13.105076640324558
94,000093.png,-5.235209,-5.9088046571005535,0.6735956571005532,0.6735956571005532,-12.866643091050486
95,000094.png,-5.248892,-5.99316615026173,0.74427415026173,0.74427415026173,-14.179643061082798
