name,image,original pose,odometry,deviation (original - odometry),deviation,error
1,000000.png,0.0,0.0,0.0,0.0,
2,000001.png,0.0,0.0,0.0,0.0,
3,000002.png,-0.09374345,-0.09374345,0.0,0.0,-0.0
4,000003.png,-0.1406429,-0.10873319481817716,-0.03190970518182283,0.03190970518182283,-22.68845791847497
5,000004.png,-0.1874858,-0.10590277707857088,-0.08158302292142913,0.08158302292142913,-43.51424103661671
6,000005.png,-0.2343818,-0.1531925719703211,-0.0811892280296789,0.0811892280296789,-34.63973227856382
7,000006.png,-0.2812195,-0.18940245094068328,-0.09181704905931673,0.09181704905931673,-32.64960255576755
8,000007.png,-0.3281178,-0.22129036598268353,-0.10682743401731648,0.10682743401731648,-32.55764667973407
9,000008.png,-0.3749547,-0.27527087143205026,-0.09968382856794972,0.09968382856794972,-26.585565821137784
10,000009.png,-0.4218367,-0.2869178685947552,-0.1349188314052448,0.1349188314052448,-31.983663679628823
11,000010.png,-0.4687329,-0.2918235451420025,-0.17690935485799753,0.17690935485799753,-37.74203919929613
12,000011.png,-0.5155474,-0.3397112665988099,-0.1758361334011901,0.1758361334011901,-34.10668609737729
13,000012.png,-0.562431,-0.36410149556245175,-0.19832950443754827,0.19832950443754827,-35.26290414958426
14,000013.png,-0.6093087,-0.3989736790856366,-0.21033502091436346,0.21033502091436346,-34.52027205821342
15,000014.png,-0.6562052,-0.4193497895252166,-0.23685541047478342,0.23685541047478342,-36.094717090748965
16,000015.png,-0.7018788,-0.45883613315907096,-0.24304266684092907,0.24304266684092907,-34.62744092583065
17,000016.png,-0.7498241,-0.5054855171449241,-0.24433858285507593,0.24433858285507593,-32.586120245411685
18,000017.png,-0.7992511,-0.5733407197299977,-0.22591038027000232,0.22591038027000232,-28.265257347784985
19,000018.png,-0.8546642,-0.6190383442790813,-0.23562585572091865,0.23562585572091865,-27.56940746095585
20,000019.png,-0.9072868,-0.6888425768051769,-0.21844422319482304,0.21844422319482304,-24.076645135234312
21,000020.png,-0.9609163,-0.7574569332607952,-0.20345936673920473,0.20345936673920473,-21.173474395137717
22,000021.png,-1.011589,-0.8273124417915524,-0.18427655820844768,0.18427655820844768,-18.216544289078634
23,000022.png,-1.066256,-0.8670899878171199,-0.19916601218288021,0.19916601218288021,-18.679005059092766
24,000023.png,-1.118651,-0.9214692052125038,-0.1971817947874963,0.1971817947874963,-17.626748180397307
25,000024.png,-1.17184,-0.9985796061964735,-0.17326039380352654,0.17326039380352654,-14.785328526379585
26,000025.png,-1.224279,-1.070367776369842,-0.15391122363015786,0.15391122363015786,-12.571580794096596
27,000026.png,-1.280807,-1.1277227741511093,-0.1530842258488907,0.1530842258488907,-11.952169674969818
28,000027.png,-1.334841,-1.1676015498268428,-0.1672394501731571,0.1672394501731571,-12.528791831623176
29,000028.png,-1.385747,-1.222265625171434,-0.16348137482856617,0.16348137482856617,-11.797346472954022
30,000029.png,-1.436633,-1.2923122438401125,-0.1443207561598876,0.1443207561598876,-10.04576368215735
31,000030.png,-1.487044,-1.3373852253169025,-0.14965877468309752,0.14965877468309752,-10.06417931702744
32,000031.png,-1.538025,-1.3952140862917366,-0.14281091370826338,0.14281091370826338,-9.285344107427603
33,000032.png,-1.586551,-1.4883467000717996,-0.09820429992820046,0.09820429992820046,-6.1897978651931425
34,000033.png,-1.633363,-1.542851536255041,-0.09051146374495889,0.09051146374495889,-5.541417538229952
35,000034.png,-1.680971,-1.5932934925758495,-0.08767750742415048,0.08767750742415048,-5.215884594329735
36,000035.png,-1.728893,-1.6253245473924895,-0.10356845260751046,0.10356845260751046,-5.990448952451683
37,000036.png,-1.768976,-1.6761320740203653,-0.09284392597963476,0.09284392597963476,-5.24845594172192
38,000037.png,-1.815834,-1.7334211464171752,-0.0824128535828248,0.0824128535828248,-4.5385675993964645
39,000038.png,-1.870663,-1.7986109047152548,-0.07205209528474521,0.07205209528474521,-3.8516876254432364
40,000039.png,-1.92978,-1.8599612608230953,-0.06981873917690473,0.06981873917690473,-3.6179636630551006
41,000040.png,-1.993748,-1.9206043423677912,-0.07314365763220887,0.07314365763220887,-3.6686510849018465
42,000041.png,-2.061112,-2.0040978217365244,-0.05701417826347566,0.05701417826347566,-2.7661853535118737
43,000042.png,-2.126953,-2.0692774878410845,-0.05767551215891542,0.05767551215891542,-2.7116495831791028
44,000043.png,-2.190967,-2.109195724796811,-0.08177127520318894,0.08177127520318894,-3.7322002204135862
45,000044.png,-2.256115,-2.1790205003304806,-0.07709449966951931,0.07709449966951931,-3.4171351934417933
46,000045.png,-2.32994,-2.2809026867117397,-0.04903731328826044,0.04903731328826044,-2.1046599177773007
47,000046.png,-2.399728,-2.33326623137244,-0.06646176862756015,0.06646176862756015,-2.7695542422957997
48,000047.png,-2.465214,-2.4216120744484373,-0.043601925551562726,0.043601925551562726,-1.768687243848312
49,000048.png,-2.535885,-2.430421628376208,-0.10546337162379205,0.10546337162379205,-4.158838891503047
50,000049.png,-2.600016,-2.539044744671501,-0.06097125532849912,0.06097125532849912,-2.3450338508878064
51,000050.png,-2.661881,-2.596347305482738,-0.06553369451726221,0.06553369451726221,-2.461931788733689
52,000051.png,-2.728914,-2.658359340858859,-0.07055465914114123,0.07055465914114123,-2.585448245754217
53,000052.png,-2.800794,-2.744401020256004,-0.05639297974399593,0.05639297974399593,-2.0134640299856374
54,000053.png,-2.871336,-2.831216903254408,-0.040119096745591776,0.040119096745591776,-1.3972275186739476
55,000054.png,-2.937935,-2.878659823878733,-0.05927517612126687,0.05927517612126687,-2.0175795625589696
56,000055.png,-3.002463,-2.928642217286633,-0.073820782713367,0.073820782713367,-2.458674185605851
57,000056.png,-3.065844,-3.0117227648706617,-0.054121235129338086,0.054121235129338086,-1.7652964446116008
58,000057.png,-3.130185,-3.0672953281804323,-0.06288967181956773,0.06288967181956773,-2.009135939874727
59,000058.png,-3.19152,-3.1519008126955126,-0.039619187304487546,0.039619187304487546,-1.2413892848701416
60,000059.png,-3.248811,-3.214051957639736,-0.03475904236026395,0.03475904236026395,-1.069900414652128
61,000060.png,-3.310922,-3.2753727252638067,-0.035549274736193404,0.035549274736193404,-1.0736971374195285
62,000061.png,-3.371514,-3.3317955946923794,-0.0397184053076205,0.0397184053076205,-1.1780584422197415
63,000062.png,-3.438994,-3.3909618991246933,-0.04803210087530685,0.04803210087530685,-1.3966904529437052
64,000063.png,-3.511313,-3.4494073447297375,-0.06190565527026237,0.06190565527026237,-1.7630343768915608
65,000064.png,-3.579193,-3.5317587543814177,-0.04743424561858234,0.04743424561858234,-1.3252776706531986
66,000065.png,-3.641784,-3.5847600692640795,-0.05702393073592038,0.05702393073592038,-1.5658240778673413
67,000066.png,-3.703384,-3.6676150620737427,-0.03576893792625713,0.03576893792625713,-0.9658446957230773
68,000067.png,-3.776035,-3.752996066904417,-0.023038933095582692,0.023038933095582692,-0.610135581253423
69,000068.png,-3.84394,-3.8407071982370447,-0.003232801762955262,0.003232801762955262,-0.0841012545189379
70,000069.png,-3.912602,-3.9113772290838464,-0.0012247709161536946,0.0012247709161536946,-0.03130323289089191
71,000070.png,-3.978228,-3.9866449684330956,0.008416968433095473,0.008416968433095473,-0.21157581800478686
72,000071.png,-4.046625,-4.056007611104179,0.009382611104179261,0.009382611104179261,-0.2318626288370991
73,000072.png,-4.114442,-4.11469576185403,0.00025376185402947726,0.00025376185402947726,-0.006167588558289976
74,000073.png,-4.179994,-4.207310333117836,0.027316333117836322,0.027316333117836322,-0.6535017303334962
75,000074.png,-4.244856,-4.2857939099109785,0.04093790991097812,0.04093790991097812,-0.9644122182466994
76,000075.png,-4.313021,-4.404086799820602,0.09106579982060214,0.09106579982060214,-2.1114156369886015
77,000076.png,-4.381935,-4.462306523715274,0.08037152371527334,0.08037152371527334,-1.8341559999240822
78,000077.png,-4.44551,-4.557784000505364,0.11227400050536396,0.11227400050536396,-2.5255595084785316
79,000078.png,-4.514875,-4.627510843948349,0.11263584394834947,0.11263584394834947,-2.494772146479127
80,000079.png,-4.58021,-4.683114357010213,0.10290435701021305,0.10290435701021305,-2.246717006648452
81,000080.png,-4.644343,-4.742910828858894,0.09856782885889359,0.09856782885889359,-2.1223201830462046
82,000081.png,-4.709494,-4.7917299234172726,0.08223592341727226,0.08223592341727226,-1.7461732283186315
83,000082.png,-4.77573,-4.8665265352323255,0.09079653523232523,0.09079653523232523,-1.901207464247879
84,000083.png,-4.837515,-4.941713167348905,0.10419816734890563,0.10419816734890563,-2.1539606047506963
85,000084.png,-4.891889,-5.010812582047456,0.11892358204745612,0.11892358204745612,-2.4310359872731397
86,000085.png,-4.937677,-5.061481691896504,0.12380469189650434,0.12380469189650434,-2.5073469142777935
87,000086.png,-4.985837,-5.136063594165961,0.15022659416596085,0.15022659416596085,-3.0130666960424266
88,000087.png,-5.039038,-5.188086980082162,0.1490489800821626,0.1490489800821626,-2.9578856139239793
89,000088.png,-5.092732,-5.260553659862355,0.16782165986235498,0.16782165986235498,-3.295316931312211
90,000089.png,-5.133801,-5.3012650684720075,0.16746406847200745,0.16746406847200745,-3.2619898681699477
91,000090.png,-5.159772,-5.328355912306244,0.1685839123062438,0.1685839123062438,-3.2672744513952128
92,000091.png,-5.183357,-5.3839453807138495,0.20058838071384955,0.20058838071384955,-3.8698546272975127
93,000092.png,-5.208269,-5.406714031884852,0.19844503188485252,0.19844503188485252,-3.8101916756767467
94,000093.png,-5.235209,-5.435969576469978,0.20076057646997736,0.20076057646997736,-3.8348149323165006
