name,image,original pose,odometry,deviation (original - odometry),deviation,error
1,000000.png,0.0,0.0,0.0,0.0,
2,000001.png,0.0,0.0,0.0,0.0,
3,000002.png,-0.09374345,-0.09374345,0.0,0.0,-0.0
4,000003.png,-0.1406429,0.009164247497890934,-0.14980714749789092,0.14980714749789092,-106.51596881029255
5,000004.png,-0.1874858,-0.01931611084151135,-0.16816968915848865,0.16816968915848865,-89.69729395958981
6,000005.png,-0.2343818,-0.04128164724460928,-0.19310015275539072,0.19310015275539072,-82.38700818723584
7,000006.png,-0.2812195,-0.07952409510551449,-0.2016954048944855,0.2016954048944855,-71.72169956012492
8,000007.png,-0.3281178,-0.10477662791183004,-0.22334117208816998,0.22334117208816998,-68.06737461002419
9,000008.png,-0.3749547,-0.15259235176914182,-0.22236234823085815,0.22236234823085815,-59.303790092738716
10,000009.png,-0.4218367,-0.16588322588455406,-0.25595347411544594,0.25595347411544594,-60.675961602071595
11,000010.png,-0.4687329,-0.20773727795458355,-0.2609956220454165,0.2609956220454165,-55.6810972827844
12,000011.png,-0.5155474,-0.2691830152449245,-0.2463643847550755,0.2463643847550755,-47.78695125900654
13,000012.png,-0.562431,-0.3060841746967009,-0.2563468253032991,0.2563468253032991,-45.57835988828836
14,000013.png,-0.6093087,-0.35485812912531334,-0.2544505708746867,0.2544505708746867,-41.76053466406876
15,000014.png,-0.6562052,-0.397835483793901,-0.25836971620609905,0.25836971620609905,-39.373311306600286
16,000015.png,-0.7018788,-0.4433606107606795,-0.2585181892393205,0.2585181892393205,-36.83231196601472
17,000016.png,-0.7498241,-0.5156683449265296,-0.23415575507347042,0.23415575507347042,-31.228091371492383
18,000017.png,-0.7992511,-0.5833865292369824,-0.21586457076301757,0.21586457076301757,-27.008354541272144
19,000018.png,-0.8546642,-0.6205206946879516,-0.23414350531204842,0.23414350531204842,-27.39596502486572
20,000019.png,-0.9072868,-0.6762983213329767,-0.2309884786670232,0.2309884786670232,-25.45925705818967
21,000020.png,-0.9609163,-0.7231244753222618,-0.23779182467773818,0.23779182467773818,-24.746361850427366
22,000021.png,-1.011589,-0.7847906923705092,-0.22679830762949083,0.22679830762949083,-22.420005321280758
23,000022.png,-1.066256,-0.8498084084710986,-0.21644759152890147,0.21644759152890147,-20.299777120025723
24,000023.png,-1.118651,-0.9561877462474858,-0.16246325375251425,0.16246325375251425,-14.523140260234356
25,000024.png,-1.17184,-1.0068307796400224,-0.16500922035997756,0.16500922035997756,-14.081207362777986
26,000025.png,-1.224279,-1.0765348755091468,-0.14774412449085306,0.14774412449085306,-12.067847646725385
27,000026.png,-1.280807,-1.145310441034352,-0.13549655896564805,0.13549655896564805,-10.5789989409527
28,000027.png,-1.334841,-1.2023077371567064,-0.1325332628432936,0.1325332628432936,-9.928767759103414
29,000028.png,-1.385747,-1.2703390361894862,-0.11540796381051388,0.11540796381051388,-8.328213145005103
30,000029.png,-1.436633,-1.3475691184259022,-0.08906388157409784,0.08906388157409784,-6.1994873829362005
31,000030.png,-1.487044,-1.4024345817365143,-0.08460941826348578,0.08460941826348578,-5.689772344563158
32,000031.png,-1.538025,-1.4806582502736263,-0.05736674972637368,0.05736674972637368,-3.729897090513722
33,000032.png,-1.586551,-1.515582110946612,-0.07096888905338794,0.07096888905338794,-4.473155231277654
34,000033.png,-1.633363,-1.56813061301552,-0.06523238698447997,0.06523238698447997,-3.993747071807062
35,000034.png,-1.680971,-1.6469555451571418,-0.03401545484285817,0.03401545484285817,-2.0235598854982135
36,000035.png,-1.728893,-1.6760986388761014,-0.05279436112389857,0.05279436112389857,-3.0536511585100157
37,000036.png,-1.768976,-1.7450505592401,-0.023925440759900107,0.023925440759900107,-1.352502281540287
38,000037.png,-1.815834,-1.8039477786631035,-0.01188622133689643,0.01188622133689643,-0.6545874422935373
39,000038.png,-1.870663,-1.881888844825499,0.011225844825498932,0.011225844825498932,-0.6000997948587711
40,000039.png,-1.92978,-1.94075137942413,0.010971379424129957,0.010971379424129957,-0.5685300616717945
41,000040.png,-1.993748,-2.010789707967593,0.017041707967592856,0.017041707967592856,-0.8547573699180064
42,000041.png,-2.061112,-2.0978966413906055,0.036784641390605444,0.036784641390605444,-1.7846988126120968
43,000042.png,-2.126953,-2.1540935075221914,0.027140507522191548,0.027140507522191548,-1.2760276095518588
44,000043.png,-2.190967,-2.236032238365654,0.045065238365654015,0.045065238365654015,-2.056865227347286
45,000044.png,-2.256115,-2.3102741229924204,0.05415912299242054,0.05415912299242054,-2.400547977049953
46,000045.png,-2.32994,-2.366842550669986,0.036902550669986045,0.036902550669986045,-1.583841243550737
47,000046.png,-2.399728,-2.4599491150384782,0.06022111503847816,0.06022111503847816,-2.50949753632404
48,000047.png,-2.465214,-2.5212023115394833,0.05598831153948325,0.05598831153948325,-2.271133927500138
49,000048.png,-2.535885,-2.610755193337729,0.07487019333772915,0.07487019333772915,-2.952428573761395
50,000049.png,-2.600016,-2.6938014894628095,0.0937854894628094,0.0937854894628094,-3.607112012495669
51,000050.png,-2.661881,-2.7608586286558294,0.09897762865582926,0.09897762865582926,-3.7183340899097015
52,000051.png,-2.728914,-2.8454146084226593,0.11650060842265919,0.11650060842265919,-4.269119819190315
53,000052.png,-2.800794,-2.940287918435982,0.13949391843598224,0.13949391843598224,-4.9805133271487385
54,000053.png,-2.871336,-3.0145896958322473,0.14325369583224745,0.14325369583224745,-4.989095523207575
55,000054.png,-2.937935,-3.085741815395929,0.1478068153959291,0.1478068153959291,-5.030976362510713
56,000055.png,-3.002463,-3.149963370843619,0.1475003708436189,0.1475003708436189,-4.912645745963194
57,000056.png,-3.065844,-3.2044183096402987,0.13857430964029893,0.13857430964029893,-4.519940011308434
58,000057.png,-3.130185,-3.287196870979304,0.15701187097930402,0.15701187097930402,-5.016057229183069
59,000058.png,-3.19152,-3.318779743669167,0.1272597436691667,0.1272597436691667,-3.9874336889371427
60,000059.png,-3.248811,-3.376131485441873,0.12732048544187302,0.12732048544187302,-3.9189871445852966
61,000060.png,-3.310922,-3.4778144069353703,0.1668924069353701,0.1668924069353701,-5.040662598979079
62,000061.png,-3.371514,-3.5676445777742867,0.19613057777428677,0.19613057777428677,-5.8172849875245
63,000062.png,-3.438994,-3.600308463625026,0.16131446362502588,0.16131446362502588,-4.690745712991237
64,000063.png,-3.511313,-3.6684973930355755,0.15718439303557563,0.15718439303557563,-4.476513288208019
65,000064.png,-3.579193,-3.7347356008834636,0.1555426008834635,0.1555426008834635,-4.345745001274407
66,000065.png,-3.641784,-3.806604162978741,0.16482016297874091,0.16482016297874091,-4.52580831204544
67,000066.png,-3.703384,-3.8733404544032926,0.16995645440329277,0.16995645440329277,-4.58922041039473
68,000067.png,-3.776035,-3.960632383597032,0.18459738359703204,0.18459738359703204,-4.888656582818539
69,000068.png,-3.84394,-4.005785865788894,0.16184586578889437,0.16184586578889437,-4.210416025975806
70,000069.png,-3.912602,-4.070805772941539,0.1582037729415391,0.1582037729415391,-4.043441498561292
71,000070.png,-3.978228,-4.158823625114619,0.18059562511461857,0.18059562511461857,-4.539599668863086
72,000071.png,-4.046625,-4.232516810738699,0.1858918107386991,0.1858918107386991,-4.593749377288459
73,000072.png,-4.114442,-4.296940148800267,0.18249814880026705,0.18249814880026705,-4.435550405140406
74,000073.png,-4.179994,-4.392519317802011,0.21252531780201167,0.21252531780201167,-5.084345044562545
75,000074.png,-4.244856,-4.488054691968687,0.24319869196868638,0.24319869196868638,-5.729256586529352
76,000075.png,-4.313021,-4.586209816325654,0.2731888163256544,0.2731888163256544,-6.334047905763835
77,000076.png,-4.381935,-4.652995158395806,0.2710601583958052,0.2710601583958052,-6.185855298990177
78,000077.png,-4.44551,-4.714674167531202,0.2691641675312022,0.2691641675312022,-6.054742145022781
79,000078.png,-4.514875,-4.782497505165072,0.2676225051650718,0.2676225051650718,-5.927572860047549
80,000079.png,-4.58021,-4.869409875924311,0.28919987592431085,0.28919987592431085,-6.3141182593005745
81,000080.png,-4.644343,-4.941937091873934,0.2975940918739335,0.2975940918739335,-6.4076682509007945
82,000081.png,-4.709494,-5.030385959768853,0.32089195976885243,0.32089195976885243,-6.813724781661308
83,000082.png,-4.77573,-5.086991645469717,0.3112616454697168,0.3112616454697168,-6.51757208782148
84,000083.png,-4.837515,-5.1431210026053895,0.3056060026053897,0.3056060026053897,-6.317417157474235
85,000084.png,-4.891889,-5.201806961457221,0.30991796145722095,0.30991796145722095,-6.335343288803588
86,000085.png,-4.937677,-5.2453633984422225,0.3076863984422227,0.3076863984422227,-6.231399875735547
87,000086.png,-4.985837,-5.2540301557704865,0.2681931557704864,0.2681931557704864,-5.3790999539392566
88,000087.png,-5.039038,-5.331583311772762,0.2925453117727619,0.2925453117727619,-5.805578599978049
89,000088.png,-5.092732,-5.3758994673660006,0.28316746736600074,0.28316746736600074,-5.560227150496055
90,000089.png,-5.133801,-5.417195889775068,0.2833948897750682,0.2833948897750682,-5.520176761332748
91,000090.png,-5.159772,-5.488524505669884,0.32875250566988345,0.32875250566988345,-6.371454119869704
92,000091.png,-5.183357,-5.516477313350966,0.3331203133509657,0.3331203133509657,-6.426729113023967
93,000092.png,-5.208269,-5.547498006130845,0.3392290061308456,0.3392290061308456,-6.513277369714307
94,000093.png,-5.235209,-5.492847536718727,0.2576385367187264,0.2576385367187264,-4.921265544866047
95,000094.png,-5.248892,-5.511313203633291,0.26242120363329136,0.26242120363329136,-4.999554260847649
